# Version 1.00,,,,,,,,,,
#,,,,,,,,,,
# Ref Impedances: Z01: 50, Z02: 50,,,,,,,,,
# ,,,,,,,,,,
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,,mag:Trc1_S11
1.64E+09,8.35E-01,-4.77E-01,-1.89E-04,1.60E-04,-1.96E-04,1.22E-04,8.23E-01,-4.95E-01,,0.96198603
1.65E+09,8.00E-01,-5.35E-01,-1.85E-04,1.44E-04,-2.35E-04,1.53E-04,7.79E-01,-5.61E-01,,0.961975918
1.67E+09,7.60E-01,-5.90E-01,-1.99E-04,1.24E-04,-2.34E-04,5.49E-05,7.42E-01,-6.07E-01,,0.961628662
1.68E+09,7.17E-01,-6.41E-01,-2.64E-04,1.75E-04,-2.93E-04,1.05E-04,6.92E-01,-6.67E-01,,0.961262103
1.70E+09,6.70E-01,-6.89E-01,-3.17E-04,1.51E-04,-3.08E-04,1.64E-04,6.57E-01,-6.95E-01,,0.960759976
1.71E+09,6.20E-01,-7.33E-01,-3.30E-04,2.07E-04,-2.65E-04,1.82E-04,5.98E-01,-7.49E-01,,0.960203542
1.73E+09,5.67E-01,-7.74E-01,-2.75E-04,2.49E-04,-2.28E-04,2.08E-04,5.50E-01,-7.74E-01,,0.959528025
1.74E+09,5.12E-01,-8.09E-01,-2.42E-04,2.18E-04,-2.38E-04,1.71E-04,4.92E-01,-8.14E-01,,0.957705183
1.76E+09,4.54E-01,-8.41E-01,-2.26E-04,2.23E-04,-2.49E-04,2.44E-04,4.38E-01,-8.42E-01,,0.955981875
1.77E+09,3.95E-01,-8.69E-01,-2.30E-04,2.89E-04,-2.39E-04,2.42E-04,3.70E-01,-8.75E-01,,0.954155409
1.79E+09,3.33E-01,-8.91E-01,-2.40E-04,2.75E-04,-2.86E-04,3.17E-04,3.08E-01,-8.97E-01,,0.951555843
1.80E+09,2.71E-01,-9.10E-01,-2.17E-04,2.87E-04,-2.20E-04,2.44E-04,2.40E-01,-9.17E-01,,0.949381698
1.82E+09,2.08E-01,-9.23E-01,-2.20E-04,3.07E-04,-2.26E-04,3.25E-04,1.81E-01,-9.28E-01,,0.946394636
1.83E+09,1.43E-01,-9.33E-01,-2.10E-04,3.21E-04,-1.97E-04,3.48E-04,1.18E-01,-9.34E-01,,0.943992328
1.85E+09,7.81E-02,-9.38E-01,-1.75E-04,3.16E-04,-2.07E-04,3.29E-04,5.69E-02,-9.33E-01,,0.941533899
1.86E+09,1.29E-02,-9.39E-01,-1.30E-04,3.84E-04,-1.93E-04,4.18E-04,-8.23E-03,-9.37E-01,,0.93885564
1.88E+09,-5.33E-02,-9.35E-01,-9.71E-05,4.21E-04,-1.17E-04,4.09E-04,-7.70E-02,-9.32E-01,,0.936558297
1.89E+09,-1.18E-01,-9.26E-01,-9.52E-05,4.85E-04,-1.40E-04,5.03E-04,-1.45E-01,-9.22E-01,,0.933896575
1.91E+09,-1.83E-01,-9.13E-01,-7.94E-06,4.44E-04,-5.82E-05,4.88E-04,-2.13E-01,-9.05E-01,,0.931666631
1.92E+09,-2.48E-01,-8.96E-01,-1.66E-05,5.47E-04,-6.63E-06,5.87E-04,-2.70E-01,-8.89E-01,,0.929463827
1.94E+09,-3.11E-01,-8.74E-01,5.88E-05,5.79E-04,5.50E-05,6.01E-04,-3.40E-01,-8.69E-01,,0.927255666
1.95E+09,-3.73E-01,-8.47E-01,1.61E-04,5.76E-04,1.91E-04,5.55E-04,-3.83E-01,-8.41E-01,,0.925281385
1.97E+09,-4.33E-01,-8.15E-01,2.25E-04,5.24E-04,2.40E-04,5.56E-04,-4.48E-01,-8.02E-01,,0.923159668
